orderId,sku,qty,priceAtPurchase
1001,LP-700,1,2990.00
1001,HP-511,1,2490.00
1002,CM-101,1,3290.00
1002,BL-400,1,3490.00
1003,BL-400,1,3490.00
1004,CM-101,1,3290.00
1004,HP-500,1,4290.00
1004,HP-501,1,7990.00
1005,BL-401,1,1790.00
1006,HP-510,2,11990.00
1006,HP-500,1,4290.00
1007,HP-511,1,2490.00
1007,BL-410,1,6990.00
1008,BL-401,2,1790.00
1008,CM-100,1,4990.00
1009,HP-501,1,7990.00
1010,TX-800,1,3290.00
1011,KT-301,1,2790.00
1012,TX-801,1,1590.00
1012,HP-501,1,7990.00
1013,HP-510,1,11990.00
1014,KT-310,2,5490.00
1015,HP-510,1,11990.00
1015,KT-300,1,1990.00
1015,CM-101,1,3290.00
1016,LP-700,1,2990.00
1016,TX-800,1,3290.00
1016,TX-801,1,1590.00
1017,KT-310,1,5490.00
1018,KT-310,1,5490.00
1019,BL-410,1,6990.00
1020,HP-501,1,7990.00
1021,HP-510,1,11990.00
1022,KT-301,1,2790.00
1022,GR-200,1,2490.00
1023,CM-111,1,26490.00
1023,LP-701,1,6490.00
1024,CM-110,2,18990.00
1024,LP-701,1,6490.00
1025,BL-410,1,6990.00
1026,BL-400,1,3490.00
1027,SP-601,1,8990.00
1028,LP-700,1,2990.00
1029,TX-801,1,1590.00
1029,SP-600,1,3990.00
1030,TX-800,1,3290.00
1030,HP-511,1,2490.00
1030,SP-600,1,3990.00
1031,HP-511,1,2490.00
1032,GR-210,2,1990.00
1032,CM-101,1,3290.00
1033,GR-210,1,1990.00
1033,HP-500,2,4290.00
1034,SP-600,1,3990.00
1034,BL-400,1,3490.00
1035,CM-101,2,3290.00
1035,BL-400,1,3490.00
1035,SP-601,1,8990.00
1036,BL-400,1,3490.00
1036,BL-410,1,6990.00
1037,LP-700,1,2990.00
1037,SP-601,1,8990.00
1038,KT-300,1,1990.00
1038,KT-310,1,5490.00
1038,TX-800,1,3290.00
1039,LP-701,1,6490.00
1040,LP-701,2,6490.00
1040,CM-100,1,4990.00
1041,TX-801,2,1590.00
1041,CM-110,1,18990.00
1042,TX-801,1,1590.00
1042,HP-510,1,11990.00
1043,CM-110,1,18990.00
1044,LP-701,1,6490.00
1044,CM-110,1,18990.00
1045,LP-700,1,2990.00
1046,BL-400,1,3490.00
1046,CM-101,1,3290.00
1046,BL-401,1,1790.00
1047,HP-511,1,2490.00
1047,HP-510,2,11990.00
1047,BL-400,1,3490.00
1048,BL-410,1,6990.00
1049,GR-201,1,7490.00
1049,KT-310,1,5490.00
1049,TX-801,2,1590.00
1050,SP-601,1,8990.00
1051,GR-201,1,7490.00
1052,BL-401,1,1790.00
1053,SP-601,1,8990.00
1053,SP-600,1,3990.00
1054,HP-501,2,7990.00
1054,GR-200,1,2490.00
1055,GR-210,1,1990.00
1056,TX-800,2,3290.00
1056,GR-210,1,1990.00
1057,HP-501,1,7990.00
1057,GR-210,1,1990.00
1057,TX-800,1,3290.00
1058,HP-510,1,11990.00
1059,HP-510,1,11990.00
1059,HP-511,1,2490.00
1059,TX-800,1,3290.00
1060,GR-201,1,7490.00
1060,TX-800,1,3290.00
1061,GR-201,1,7490.00
1062,TX-801,1,1590.00
1063,CM-110,1,18990.00
1064,TX-801,2,1590.00
1064,CM-100,2,4990.00
1064,SP-600,1,3990.00
1065,KT-310,1,5490.00
1065,KT-301,1,2790.00
1065,CM-101,1,3290.00
1066,BL-401,1,1790.00
1066,HP-500,1,4290.00
1066,HP-510,1,11990.00
1067,BL-400,1,3490.00
1068,HP-511,1,2490.00
1068,HP-500,1,4290.00
1069,BL-401,1,1790.00
1070,HP-511,1,2490.00
1070,CM-101,1,3290.00
1071,CM-100,1,4990.00
1071,CM-101,1,3290.00
1072,HP-511,1,2490.00
1072,KT-300,1,1990.00
